transaction_id,date,category,region,quantity,unit_price,payment_type,customer_age,total_value
TXN00001,2024-01-01 00:00:00,Books,West,8,429.2,Credit Card,30.0,3433.6
TXN00002,2024-01-01 06:00:00,Sports,East,5,469.66,PayPal,46.0,2348.3
TXN00003,2024-01-01 12:00:00,Home & Garden,South,2,248.72,Credit Card,52.0,497.44
TXN00004,2024-01-01 18:00:00,Sports,North,6,351.93,Credit Card,71.0,2111.58
TXN00005,2024-01-02 00:00:00,Sports,Central,8,428.5,Cash,25.0,3428.0
TXN00006,2024-01-02 06:00:00,Clothing,Central,4,212.05,Cash,46.0,848.2
TXN00007,2024-01-02 12:00:00,Home & Garden,North,2,158.16,Debit Card,48.0,316.32
TXN00008,2024-01-02 18:00:00,Home & Garden,North,5,468.68,Cash,58.0,2343.4
TXN00009,2024-01-03 00:00:00,Home & Garden,South,2,260.26,Credit Card,47.0,520.52
TXN00010,2024-01-03 06:00:00,Sports,East,2,251.14,Cash,39.0,502.28
TXN00011,2024-01-03 12:00:00,Books,Central,6,93.32,Credit Card,38.0,559.92
TXN00012,2024-01-03 18:00:00,Home & Garden,South,9,58.54,PayPal,29.0,526.86
TXN00013,2024-01-04 00:00:00,Sports,East,4,421.84,Credit Card,28.0,1687.36
TXN00014,2024-01-04 06:00:00,Clothing,South,6,309.0,Debit Card,19.0,1854.0
TXN00015,2024-01-04 12:00:00,Books,Central,7,166.28,PayPal,67.0,1163.96
TXN00016,2024-01-04 18:00:00,Clothing,North,6,99.91,Debit Card,58.0,599.46
TXN00017,2024-01-05 00:00:00,Books,North,8,279.97,Debit Card,,2239.76
TXN00018,2024-01-05 06:00:00,Sports,East,4,294.04,Debit Card,51.0,1176.16
TXN00019,2024-01-05 12:00:00,Electronics,West,1,107.46,Cash,20.0,107.46
TXN00020,2024-01-05 18:00:00,Books,East,7,426.45,Debit Card,33.0,2985.15
TXN00021,2024-01-06 00:00:00,Clothing,West,3,46.71,PayPal,68.0,140.13
TXN00022,2024-01-06 06:00:00,Sports,South,6,181.27,Credit Card,21.0,1087.62
TXN00023,2024-01-06 12:00:00,Books,South,2,341.79,Debit Card,40.0,683.58
TXN00024,2024-01-06 18:00:00,Electronics,Central,9,140.69,PayPal,74.0,1266.21
TXN00025,2024-01-07 00:00:00,Electronics,West,1,414.7,Debit Card,67.0,414.7
TXN00026,2024-01-07 06:00:00,Home & Garden,Central,6,371.23,Credit Card,37.0,2227.38
TXN00027,2024-01-07 12:00:00,Home & Garden,North,6,395.57,PayPal,42.0,2373.42
TXN00028,2024-01-07 18:00:00,Clothing,West,5,63.96,PayPal,47.0,319.8
TXN00029,2024-01-08 00:00:00,Books,East,5,74.57,Credit Card,35.0,372.85
TXN00030,2024-01-08 06:00:00,Books,North,1,146.8,PayPal,59.0,146.8
TXN00031,2024-01-08 12:00:00,Home & Garden,North,5,261.45,Credit Card,28.0,1307.25
TXN00032,2024-01-08 18:00:00,Books,East,2,375.27,PayPal,46.0,750.54
TXN00033,2024-01-09 00:00:00,Books,North,7,419.08,PayPal,34.0,2933.56
TXN00034,2024-01-09 06:00:00,Electronics,West,3,353.65,Credit Card,43.0,1060.95
TXN00035,2024-01-09 12:00:00,Home & Garden,Central,4,464.66,Credit Card,73.0,1858.64
TXN00036,2024-01-09 18:00:00,Sports,North,3,370.68,PayPal,74.0,1112.04
TXN00037,2024-01-10 00:00:00,Home & Garden,West,3,156.6,PayPal,40.0,469.8
TXN00038,2024-01-10 06:00:00,Sports,South,4,136.22,Credit Card,73.0,544.88
TXN00039,2024-01-10 12:00:00,Electronics,West,5,349.62,Cash,69.0,1748.1
TXN00040,2024-01-10 18:00:00,Clothing,Central,1,100.47,Credit Card,65.0,100.47
TXN00041,2024-01-11 00:00:00,Books,West,4,50.89,PayPal,37.0,203.56
TXN00042,2024-01-11 06:00:00,Electronics,East,8,268.45,PayPal,62.0,2147.6
TXN00043,2024-01-11 12:00:00,Books,Central,7,411.71,PayPal,19.0,2881.97
TXN00044,2024-01-11 18:00:00,Clothing,South,9,55.18,Credit Card,41.0,496.62
TXN00045,2024-01-12 00:00:00,Clothing,East,5,396.99,PayPal,48.0,1984.95
TXN00046,2024-01-12 06:00:00,Electronics,West,4,406.73,Cash,44.0,1626.92
TXN00047,2024-01-12 12:00:00,Clothing,Central,8,243.73,Debit Card,19.0,1949.84
TXN00048,2024-01-12 18:00:00,Sports,South,9,33.37,Cash,74.0,300.33
TXN00049,2024-01-13 00:00:00,Clothing,East,7,91.42,Credit Card,31.0,639.94
TXN00050,2024-01-13 06:00:00,Books,South,7,355.18,PayPal,21.0,2486.26
TXN00051,2024-01-13 12:00:00,Books,West,5,357.33,Credit Card,66.0,1786.65
TXN00052,2024-01-13 18:00:00,Books,South,4,449.69,Debit Card,30.0,1798.76
TXN00053,2024-01-14 00:00:00,Books,North,1,293.43,Credit Card,53.0,293.43
TXN00054,2024-01-14 06:00:00,Sports,East,7,66.43,PayPal,52.0,465.01
TXN00055,2024-01-14 12:00:00,Home & Garden,South,1,65.1,Debit Card,61.0,65.1
TXN00056,2024-01-14 18:00:00,Electronics,West,1,361.96,Debit Card,71.0,361.96
TXN00057,2024-01-15 00:00:00,Books,West,5,95.97,PayPal,72.0,479.85
TXN00058,2024-01-15 06:00:00,Clothing,South,9,167.55,PayPal,25.0,1507.95
TXN00059,2024-01-15 12:00:00,Books,West,6,246.17,PayPal,19.0,1477.02
TXN00060,2024-01-15 18:00:00,Clothing,Central,3,17.26,,23.0,51.78
TXN00061,2024-01-16 00:00:00,Clothing,Central,3,128.17,Cash,48.0,384.51
TXN00062,2024-01-16 06:00:00,Books,Central,7,206.91,Credit Card,71.0,1448.37
TXN00063,2024-01-16 12:00:00,Sports,North,6,143.42,Credit Card,27.0,860.52
TXN00064,2024-01-16 18:00:00,Clothing,South,9,72.5,Cash,61.0,652.5
TXN00065,2024-01-17 00:00:00,Clothing,North,6,365.37,PayPal,38.0,2192.22
TXN00066,2024-01-17 06:00:00,Books,West,5,407.51,PayPal,59.0,2037.55
TXN00067,2024-01-17 12:00:00,Clothing,North,7,132.45,Cash,27.0,927.15
TXN00068,2024-01-17 18:00:00,Clothing,West,1,388.34,Cash,40.0,388.34
TXN00069,2024-01-18 00:00:00,Books,West,7,195.85,Credit Card,20.0,1370.95
TXN00070,2024-01-18 06:00:00,Books,East,3,255.81,,49.0,767.43
TXN00071,2024-01-18 12:00:00,Electronics,Central,9,428.72,Cash,37.0,3858.48
TXN00072,2024-01-18 18:00:00,Sports,West,6,376.23,Credit Card,27.0,2257.38
TXN00073,2024-01-19 00:00:00,Sports,East,9,403.53,Debit Card,46.0,3631.77
TXN00074,2024-01-19 06:00:00,Clothing,Central,5,72.74,PayPal,58.0,363.7
TXN00075,2024-01-19 12:00:00,Sports,West,7,39.51,PayPal,69.0,276.57
TXN00076,2024-01-19 18:00:00,Clothing,West,4,447.24,Credit Card,68.0,1788.96
TXN00077,2024-01-20 00:00:00,Electronics,North,7,196.98,Credit Card,63.0,1378.86
TXN00078,2024-01-20 06:00:00,Books,North,1,147.5,Cash,51.0,147.5
TXN00079,2024-01-20 12:00:00,Books,Central,7,363.72,PayPal,54.0,2546.04
TXN00080,2024-01-20 18:00:00,Books,West,8,419.03,Credit Card,37.0,3352.24
TXN00081,2024-01-21 00:00:00,Sports,South,5,431.93,PayPal,25.0,2159.65
TXN00082,2024-01-21 06:00:00,Electronics,North,2,161.42,PayPal,24.0,322.84
TXN00083,2024-01-21 12:00:00,Sports,Central,5,426.85,Cash,23.0,2134.25
TXN00084,2024-01-21 18:00:00,Sports,West,6,25.26,Debit Card,28.0,151.56
TXN00085,2024-01-22 00:00:00,Electronics,West,2,29.58,Cash,61.0,59.16
TXN00086,2024-01-22 06:00:00,Electronics,South,6,313.64,Credit Card,35.0,1881.84
TXN00087,2024-01-22 12:00:00,Electronics,Central,6,36.24,Cash,68.0,217.44
TXN00088,2024-01-22 18:00:00,Electronics,West,1,165.68,Cash,,165.68
TXN00089,2024-01-23 00:00:00,Books,North,1,338.01,PayPal,74.0,338.01
TXN00090,2024-01-23 06:00:00,Home & Garden,South,3,171.95,Cash,46.0,515.85
TXN00091,2024-01-23 12:00:00,Home & Garden,Central,3,93.9,Credit Card,42.0,281.7
TXN00092,2024-01-23 18:00:00,Electronics,South,4,144.27,Debit Card,38.0,577.08
TXN00093,2024-01-24 00:00:00,Home & Garden,North,2,231.5,Cash,63.0,463.0
TXN00094,2024-01-24 06:00:00,Home & Garden,Central,9,240.32,Cash,20.0,2162.88
TXN00095,2024-01-24 12:00:00,Electronics,South,7,392.59,Debit Card,35.0,2748.13
TXN00096,2024-01-24 18:00:00,Home & Garden,East,7,376.33,Credit Card,41.0,2634.31
TXN00097,2024-01-25 00:00:00,Sports,North,6,231.12,Credit Card,64.0,1386.72
TXN00098,2024-01-25 06:00:00,Clothing,North,3,423.61,Cash,55.0,1270.83
TXN00099,2024-01-25 12:00:00,Clothing,North,6,61.55,PayPal,27.0,369.3
TXN00100,2024-01-25 18:00:00,Electronics,East,8,131.4,Cash,44.0,1051.2
TXN00101,2024-01-26 00:00:00,Books,East,8,414.85,Debit Card,29.0,3318.8
TXN00102,2024-01-26 06:00:00,Electronics,West,9,192.11,Debit Card,24.0,1728.99
TXN00103,2024-01-26 12:00:00,Books,South,1,490.68,Debit Card,34.0,490.68
TXN00104,2024-01-26 18:00:00,Clothing,West,1,235.8,Cash,18.0,235.8
TXN00105,2024-01-27 00:00:00,Electronics,South,3,397.01,Cash,67.0,1191.03
TXN00106,2024-01-27 06:00:00,Sports,East,3,204.14,Credit Card,43.0,612.42
TXN00107,2024-01-27 12:00:00,Home & Garden,East,8,215.35,PayPal,32.0,1722.8
TXN00108,2024-01-27 18:00:00,Books,West,1,194.53,Cash,68.0,194.53
TXN00109,2024-01-28 00:00:00,Home & Garden,Central,2,360.94,Credit Card,50.0,721.88
TXN00110,2024-01-28 06:00:00,Home & Garden,West,2,276.02,Cash,54.0,552.04
TXN00111,2024-01-28 12:00:00,Electronics,South,3,472.17,Credit Card,64.0,1416.51
TXN00112,2024-01-28 18:00:00,Home & Garden,West,6,129.19,Credit Card,48.0,775.14
TXN00113,2024-01-29 00:00:00,Sports,North,1,54.78,PayPal,52.0,54.78
TXN00114,2024-01-29 06:00:00,Home & Garden,South,2,199.66,Cash,18.0,399.32
TXN00115,2024-01-29 12:00:00,Electronics,South,1,310.27,Credit Card,25.0,310.27
TXN00116,2024-01-29 18:00:00,Sports,Central,5,431.1,Debit Card,29.0,2155.5
TXN00117,2024-01-30 00:00:00,Clothing,East,7,176.37,Debit Card,71.0,1234.59
TXN00118,2024-01-30 06:00:00,Home & Garden,South,8,328.62,Debit Card,,2628.96
TXN00119,2024-01-30 12:00:00,Electronics,East,1,178.35,,36.0,178.35
TXN00120,2024-01-30 18:00:00,Clothing,West,7,310.52,Credit Card,42.0,2173.64
TXN00121,2024-01-31 00:00:00,Clothing,North,5,442.98,PayPal,74.0,2214.9
TXN00122,2024-01-31 06:00:00,Books,Central,1,119.52,Cash,49.0,119.52
TXN00123,2024-01-31 12:00:00,Sports,East,3,205.1,Cash,29.0,615.3
TXN00124,2024-01-31 18:00:00,Home & Garden,South,7,496.67,Credit Card,30.0,3476.69
TXN00125,2024-02-01 00:00:00,Electronics,East,1,434.94,Debit Card,45.0,434.94
TXN00126,2024-02-01 06:00:00,Books,South,7,284.5,Credit Card,18.0,1991.5
TXN00127,2024-02-01 12:00:00,Sports,East,5,260.73,Credit Card,68.0,1303.65
TXN00128,2024-02-01 18:00:00,Books,South,1,145.88,Credit Card,23.0,145.88
TXN00129,2024-02-02 00:00:00,Sports,West,1,261.02,PayPal,25.0,261.02
TXN00130,2024-02-02 06:00:00,Sports,South,1,424.85,Cash,21.0,424.85
TXN00131,2024-02-02 12:00:00,Home & Garden,South,9,344.16,Credit Card,22.0,3097.44
TXN00132,2024-02-02 18:00:00,Sports,North,3,148.57,Credit Card,42.0,445.71
TXN00133,2024-02-03 00:00:00,Books,South,5,104.72,Credit Card,39.0,523.6
TXN00134,2024-02-03 06:00:00,Sports,North,9,136.28,PayPal,45.0,1226.52
TXN00135,2024-02-03 12:00:00,Home & Garden,Central,6,89.03,PayPal,56.0,534.18
TXN00136,2024-02-03 18:00:00,Home & Garden,North,9,52.34,PayPal,40.0,471.06
TXN00137,2024-02-04 00:00:00,Books,West,8,212.47,Credit Card,,1699.76
TXN00138,2024-02-04 06:00:00,Clothing,North,8,61.08,Debit Card,69.0,488.64
TXN00139,2024-02-04 12:00:00,Clothing,Central,1,90.1,Debit Card,21.0,90.1
TXN00140,2024-02-04 18:00:00,Sports,West,9,275.93,Debit Card,64.0,2483.37
TXN00141,2024-02-05 00:00:00,Electronics,East,6,86.48,Cash,38.0,518.88
TXN00142,2024-02-05 06:00:00,Sports,East,9,36.62,Credit Card,54.0,329.58
TXN00143,2024-02-05 12:00:00,Books,North,3,162.11,Debit Card,73.0,486.33
TXN00144,2024-02-05 18:00:00,Books,North,3,114.06,Debit Card,58.0,342.18
TXN00145,2024-02-06 00:00:00,Books,Central,6,260.08,Debit Card,19.0,1560.48
TXN00146,2024-02-06 06:00:00,Books,Central,9,55.67,Credit Card,24.0,501.03
TXN00147,2024-02-06 12:00:00,Books,South,7,377.13,Debit Card,66.0,2639.91
TXN00148,2024-02-06 18:00:00,Home & Garden,Central,3,453.59,Debit Card,33.0,1360.77
TXN00149,2024-02-07 00:00:00,Clothing,South,3,373.0,Credit Card,34.0,1119.0
TXN00150,2024-02-07 06:00:00,Books,West,2,268.75,Cash,,537.5
TXN00151,2024-02-07 12:00:00,Electronics,North,9,431.03,PayPal,40.0,3879.27
TXN00152,2024-02-07 18:00:00,Electronics,West,3,348.98,Debit Card,51.0,1046.94
TXN00153,2024-02-08 00:00:00,Electronics,Central,5,10.22,PayPal,28.0,51.1
TXN00154,2024-02-08 06:00:00,Electronics,West,9,200.07,Cash,51.0,1800.63
TXN00155,2024-02-08 12:00:00,Home & Garden,West,8,426.22,Cash,50.0,3409.76
TXN00156,2024-02-08 18:00:00,Electronics,West,2,176.2,Debit Card,43.0,352.4
TXN00157,2024-02-09 00:00:00,Books,Central,3,22.43,Credit Card,19.0,67.29
TXN00158,2024-02-09 06:00:00,Sports,West,2,374.36,Cash,40.0,748.72
TXN00159,2024-02-09 12:00:00,Electronics,South,8,402.01,PayPal,58.0,3216.08
TXN00160,2024-02-09 18:00:00,Home & Garden,Central,6,84.49,PayPal,39.0,506.94
TXN00161,2024-02-10 00:00:00,Home & Garden,West,6,270.98,PayPal,51.0,1625.88
TXN00162,2024-02-10 06:00:00,Electronics,Central,9,100.02,PayPal,32.0,900.18
TXN00163,2024-02-10 12:00:00,Sports,East,8,361.02,Cash,27.0,2888.16
TXN00164,2024-02-10 18:00:00,Electronics,South,4,139.42,Debit Card,32.0,557.68
TXN00165,2024-02-11 00:00:00,Home & Garden,West,4,161.53,Debit Card,59.0,646.12
TXN00166,2024-02-11 06:00:00,Clothing,East,9,423.26,PayPal,46.0,3809.34
TXN00167,2024-02-11 12:00:00,Books,East,1,240.78,,74.0,240.78
TXN00168,2024-02-11 18:00:00,Home & Garden,Central,2,336.53,PayPal,40.0,673.06
TXN00169,2024-02-12 00:00:00,Electronics,East,2,204.17,PayPal,34.0,408.34
TXN00170,2024-02-12 06:00:00,Books,South,6,152.51,Credit Card,26.0,915.06
TXN00171,2024-02-12 12:00:00,Electronics,South,4,314.61,Cash,67.0,1258.44
TXN00172,2024-02-12 18:00:00,Electronics,North,3,81.65,Cash,53.0,244.95
TXN00173,2024-02-13 00:00:00,Clothing,South,3,189.63,PayPal,26.0,568.89
TXN00174,2024-02-13 06:00:00,Books,East,3,108.47,Cash,33.0,325.41
TXN00175,2024-02-13 12:00:00,Books,South,6,349.42,Debit Card,53.0,2096.52
TXN00176,2024-02-13 18:00:00,Clothing,Central,8,472.38,PayPal,65.0,3779.04
TXN00177,2024-02-14 00:00:00,Home & Garden,North,7,497.78,Credit Card,68.0,3484.46
TXN00178,2024-02-14 06:00:00,Electronics,East,4,227.89,Debit Card,50.0,911.56
TXN00179,2024-02-14 12:00:00,Sports,North,4,130.0,Credit Card,72.0,520.0
TXN00180,2024-02-14 18:00:00,Electronics,East,2,224.2,Credit Card,48.0,448.4
TXN00181,2024-02-15 00:00:00,Electronics,Central,1,424.4,Cash,23.0,424.4
TXN00182,2024-02-15 06:00:00,Home & Garden,North,9,106.97,Cash,27.0,962.73
TXN00183,2024-02-15 12:00:00,Electronics,West,2,476.29,PayPal,33.0,952.58
TXN00184,2024-02-15 18:00:00,Clothing,East,8,174.22,Cash,21.0,1393.76
TXN00185,2024-02-16 00:00:00,Clothing,West,9,492.97,Credit Card,71.0,4436.73
TXN00186,2024-02-16 06:00:00,Books,North,4,420.11,Credit Card,39.0,1680.44
TXN00187,2024-02-16 12:00:00,Sports,West,8,405.24,Debit Card,30.0,3241.92
TXN00188,2024-02-16 18:00:00,Electronics,West,9,162.36,Credit Card,33.0,1461.24
TXN00189,2024-02-17 00:00:00,Electronics,North,5,9.34,PayPal,69.0,46.7
TXN00190,2024-02-17 06:00:00,Home & Garden,Central,7,194.16,PayPal,46.0,1359.12
TXN00191,2024-02-17 12:00:00,Clothing,West,4,154.4,Cash,23.0,617.6
TXN00192,2024-02-17 18:00:00,Sports,West,1,23.51,,43.0,23.51
TXN00193,2024-02-18 00:00:00,Books,Central,3,255.16,Cash,28.0,765.48
TXN00194,2024-02-18 06:00:00,Clothing,West,5,204.5,PayPal,41.0,1022.5
TXN00195,2024-02-18 12:00:00,Books,West,3,319.11,,46.0,957.33
TXN00196,2024-02-18 18:00:00,Home & Garden,West,7,312.49,Cash,20.0,2187.43
TXN00197,2024-02-19 00:00:00,Home & Garden,South,9,64.77,Debit Card,69.0,582.93
TXN00198,2024-02-19 06:00:00,Electronics,Central,6,488.6,Cash,27.0,2931.6
TXN00199,2024-02-19 12:00:00,Sports,West,1,97.53,PayPal,18.0,97.53
TXN00200,2024-02-19 18:00:00,Books,Central,7,225.41,Cash,69.0,1577.87
TXN00201,2024-02-20 00:00:00,Clothing,East,3,246.62,Credit Card,60.0,739.86
TXN00202,2024-02-20 06:00:00,Home & Garden,East,5,407.47,Cash,43.0,2037.35
TXN00203,2024-02-20 12:00:00,Electronics,West,4,54.12,PayPal,29.0,216.48
TXN00204,2024-02-20 18:00:00,Electronics,Central,5,217.18,PayPal,31.0,1085.9
TXN00205,2024-02-21 00:00:00,Books,Central,5,316.11,Debit Card,42.0,1580.55
TXN00206,2024-02-21 06:00:00,Home & Garden,Central,6,111.5,PayPal,25.0,669.0
TXN00207,2024-02-21 12:00:00,Sports,South,6,315.6,Debit Card,60.0,1893.6
TXN00208,2024-02-21 18:00:00,Home & Garden,East,8,462.21,Credit Card,21.0,3697.68
TXN00209,2024-02-22 00:00:00,Books,Central,8,498.77,PayPal,45.0,3990.16
TXN00210,2024-02-22 06:00:00,Books,Central,9,21.06,Cash,24.0,189.54
TXN00211,2024-02-22 12:00:00,Home & Garden,South,8,121.62,Credit Card,27.0,972.96
TXN00212,2024-02-22 18:00:00,Books,South,2,158.6,Cash,68.0,317.2
TXN00213,2024-02-23 00:00:00,Home & Garden,Central,1,202.57,Cash,74.0,202.57
TXN00214,2024-02-23 06:00:00,Clothing,North,2,124.92,Cash,53.0,249.84
TXN00215,2024-02-23 12:00:00,Home & Garden,Central,2,105.73,Credit Card,19.0,211.46
TXN00216,2024-02-23 18:00:00,Home & Garden,Central,3,477.5,Credit Card,,1432.5
TXN00217,2024-02-24 00:00:00,Books,South,7,459.67,PayPal,70.0,3217.69
TXN00218,2024-02-24 06:00:00,Books,South,2,28.26,Cash,67.0,56.52
TXN00219,2024-02-24 12:00:00,Electronics,Central,1,172.71,Debit Card,31.0,172.71
TXN00220,2024-02-24 18:00:00,Electronics,Central,6,205.55,PayPal,33.0,1233.3
TXN00221,2024-02-25 00:00:00,Clothing,Central,9,123.31,Credit Card,71.0,1109.79
TXN00222,2024-02-25 06:00:00,Electronics,South,3,316.29,Debit Card,60.0,948.87
TXN00223,2024-02-25 12:00:00,Home & Garden,Central,6,321.99,,59.0,1931.94
TXN00224,2024-02-25 18:00:00,Books,Central,3,426.0,Debit Card,34.0,1278.0
TXN00225,2024-02-26 00:00:00,Electronics,West,1,371.73,PayPal,63.0,371.73
TXN00226,2024-02-26 06:00:00,Electronics,North,5,273.57,Debit Card,39.0,1367.85
TXN00227,2024-02-26 12:00:00,Clothing,East,4,328.53,PayPal,21.0,1314.12
TXN00228,2024-02-26 18:00:00,Clothing,North,7,140.62,Credit Card,36.0,984.34
TXN00229,2024-02-27 00:00:00,Home & Garden,West,6,298.56,Debit Card,19.0,1791.36
